sku,brand,category_id,category_name,reviews_count,rating_raw,rating_smoothed,base_score,final_score__soft,final_score__balanced,final_score__strict,final_score__very_strict
2E SoundXBlock 20W,2E,76,Портативні колонки,241,4.796680497925311,4.775360415867052,4.775360415867052,4.745930586081444,4.694783854065463,4.535447555814587,4.346273787028025
2E SoundXPill 30W,2E,76,Портативні колонки,6,3.6666666666666665,4.321887251588482,4.321887251588482,4.321887251588482,4.321887251588482,4.321887251588482,4.321887251588482
2E SoundXTube 30W,2E,76,Портативні колонки,448,4.345982142857143,4.353352710558335,4.353352710558335,4.2729104078150595,4.148739382064449,3.8464686650445357,3.5151192981266863
2E SoundXTube Plus 40W,2E,76,Портативні колонки,43,4.1395348837209305,4.259826484782549,4.259826484782549,4.198794945105525,4.100141527007008,3.840002540934708,3.5453184616861573
ANIMAL,Animal,76,Портативні колонки,20,5.0,4.759226713532513,4.759226713532513,4.681252574387633,4.5575476414086875,4.249034065049777,3.903297394020674
ARIYUAN A5 / 500 Вт / 520 Вт⋅год / Li-ion,ARIYUAN,4,Зарядні станції,12,4.166666666666667,4.40717842673869,4.40717842673869,4.327429680148602,4.216382549257989,3.9635160493381925,3.851960751707836
"AXXIS Bluetooth, PowerBank 5000mA, сонячна батарея",Axxis,76,Портативні колонки,4,5.0,4.598711189220856,4.598711189220856,4.358711189220855,3.9587111892208555,3.298711189220856,3.2387111892208558
Allpowers Volix P300 / 300 Вт / 256 Вт⋅год / LiFePO4 (ALLP_VOLIX_P300),Allpowers,4,Зарядні станції,2,5.0,4.592259529801731,4.592259529801731,4.592259529801731,4.592259529801731,4.592259529801731,4.592259529801731
Anker PowerHouse 535 (500W/512Wh),Anker,4,Зарядні станції,148,4.371621621621622,4.393033986045465,4.393033986045465,4.304649727551144,4.170000707662983,3.8506473934644223,3.5036043711471683
Anker Solix C1000X / 1800 Вт / 1056 Вт⋅год / LiFePO4 (A1761311/A17613Z1),Anker,4,Зарядні станції,67,4.597014925373134,4.586548386846415,4.586548386846415,4.459711739006505,4.271670928984474,3.8622592917187615,3.4234871800532956
Anker Solix F1500 / 1842 Вт / 1536 Вт⋅год / LiFePO4 (A1772311),Anker,4,Зарядні станції,4,4.5,4.542904568984921,4.542904568984921,4.542904568984921,4.542904568984921,4.542904568984921,4.542904568984921
